1,Al2 O3_R-3c,Rhombohedral,4.761,4.761,12.999,90.00,90.00,120.00
0,1,2,0.0,65.76576576576578
3,-1,-14,74.37304948120625,3.561596083123799
1,0,16,74.40360159793732,0.23626884723201763
6,-3,0,74.82951933917727,2.684949080274983
6,-3,3,76.07093627830743,0.0007124718468130677
6,-2,-1,76.33910365188623,0.06279656875731708
6,-4,-2,76.7470012896189,0.23245232800746946
5,-3,-10,77.60030470633072,3.361891121485348
5,-4,9,77.72455615936497,0.4502313134809287
6,-2,-4,78.35736116824063,3.9785742352689386
2,0,-16,78.47329364626296,0.5207544503367745
4,-1,-13,78.82691871341926,0.017552988535225775
6,-2,5,79.54373910607993,0.1002428985238932
6,-3,6,79.67922245752857,1.3938935496676486#
4,Li Al5 O8_P4332,Cubic,7.903,7.903,7.903,90.00,90.00,90.00
1,1,0,0.0,14.414414414414415
1,1,1,0.0,5.305305305305305
2,1,0,0.0,15.115115115115115
